vergenoegdheid , ongenoegen
aankomen , afvallen
slaapstoornis , lethargie
zwijgen , kletsen
bofkont , verliezer
aborteren , bevruchten
deblokkeren , blokkeren
uitgever , geldwolf
draaien , overlijden
ingaan , uitstappen
beginnen , ophouden
krentenweger , uitgever
voorgaan , achterlopen
laten , verhinderen
neerleggen , toepassen
zwijgen , kwebbelen
terugontvangen , teruggeven
loslaten , hechten
improduktiviteit , arbeidsproduktiviteit
verliezer , mazzelaar
amplificeren , minderen
overkleed , ondergoed
uitgever , geldwolf
zinnen , irriteren
overlijden , bestaan
tegensteken , zinnen
kouten , zwijgen
zakken , klimmen
slaapstoornis , hypnolepsie
zwijgen , parlevinken
district , binnenland
overspringen , rekening houden
afvallen , aankomen
afkondigen , betekenen
output , invoering
intensiteit , slapte
bewolken , opklaren
background , voorgrond
dichtgaan , openen
bekoelen , verwarmen
dichtvouwen , ontvouwen
vreemde , vriendinnetje
populariteit , impopulariteit
vasteland , enclave
voorbijgaan , blijven
burger , krijgsman
uitstappen , opstappen
aanvaarden , afwijzen
babbelen , zwijgen
dichtklappen , uitklappen
krentenweger , uitgever
vaardigheid , insolvabiliteit
welvarendheid , tegenspoed
hoogachting , depreciatie
fortuin , rampspoed
credit , krediet
vervolgen , pleiten
aannemen , afwijzen
leek , connaisseur
tonaliteit , atonaliteit
curve , schroeflijn
ontsluiten , dichtdoen
schrik hebben van , uitkijken
ongeduld , geduld
beer , debiteur
bestaan , overlijden
invoering , uitvoer
uitvoer , invoering
zorg , onbezorgdheid
mededelen , adviseren
kracht , werkgever
tegoed , krediet
presentie , afwezigheid
harden , weken
dubbelspel , enkelspel
stijgen , dalen
kwebbelen , zwijgen
rekening houden , overspringen
ontgaan , begrijpen
dubbelhartigheid , originaliteit
krijgsman , burger
klessebessen , zwijgen
kanten , toegeven
overlijden , lopen
afwijzen , aannemen
vergenoegdheid , ongenoegen
slaan , missen
aansteken , doven
stijgen , zakken
havenen , lappen
connaisseur , leek
tegenspoed , welvarendheid
slagen , mislopen
stilstand , beweging
krentenkakker , uitgever
beweging , stilstand
afdekken , bedekken
mankeren , vertoeven
waarschijnlijkheid , onwaarschijnlijkheid
aandachtigheid , afwezigheid
bewustzijn , bewusteloosheid
meevallen , afvallen
overlijden , draaien
landerigheid , begeerte
zwijgen , meedelen
vraag , antwoord
aanklagen , pleiten
lelijkheid , schoonheid
knibbelaar , uitgever
raken , afblijven
onvermogen , macht
insolvabiliteit , macht
