hoek , punt
allergologie , medicijnen
wapenhandel , handelsverkeer
scheepshuid , bekleding
natuur , macrocosmos
moedjahedien , moslim
Galiciër , ingezetene
dubbel , vervanger
achterstand , distantie
vislijm , delfstof
inzet , tantième
oversteken , uitstaan
grondverzetmachine , graafmachine
anglofiel , supporter
inbrengen , zetten
finish , afronding
perversiteit , aberratie
wyvern , draak
banenmarkt , markt
divisie , administratie
eboniet , gummi
verdeling , slag
afrekening , bewijsstuk
vrede , pact
manifestatie , uiting
vervolging , mishandeling
plastiek , kunst
brandwond , laesie
courtisane , buitenvrouw
schoffelen , wegnemen
schietgat , bres
omklemmen , insluiten
zorg , werk
minderen , afnemen
banvonnis , verbanning
robuustheid , kracht
hooischelf , kwantiteit
alcoholgehalte , kwantiteit
blazen , stromen
pruim , vrucht
ademen , aanzuigen
spanen mandje , mand
brandstofpomp , pomp
h , taaluiting
concretiseren , keren
aangeven , voorlichten
ijs , portie
schermkunst , handigheid
titularis , toonder
inpakken , in geval
medereiziger , reiziger
doodskist , doos
interimbestuur , leiding
dorpsgenoot , ingezetene
voorgrond , uitzicht
armen en benen uitspreiden , rusten
gedenkboek , kroniek
troonzaal , zaal
afscheidswoord , speech
pijl , projectiel
zitbad , teil
platgoed , platvis
stomheid , handicap
armoedebestrijding , verrichting
responsie , reactie
salvo , vuur
val , doorgeefluik
aardgasbaten , winst
look , smaakmaker
verspringen , variëren
bijten , prikken
grootfamilie , familie
registratiebewijs , bewijsstuk
lijdend voorwerp , object
conservator , beheerder
stilstaan , contempleren
belastingambtenaar , staatsdienaar
kelder , graf
wereldhervormer , hemelbestormer
juskom , ding
Oktoberrevolutie , staatsgreep
doeltaal , programmeertaal
kruisvuur , vuur
Wouk , schrijfster
enzym , gaspedaal
afslachten , afbreken
Hydroxychloroquine , anti-inflammatoire
verkiezingsronde , element
klok , slaginstrument
nederlaag , angst
vervorming , alteratie
welp , wolf
trek , beweging
hutselen , doorroeren
pruimenmondje , muil
spiegelen , verspreiden
Aspinwall , havenstad
voorbehandeling , behandeling
brandhout , brandstof
smulpaap , minnaar
stuiven , bewegen
klonen , kopiëren
fietspomp , luchtpomp
stoten , douwen
dranksmokkelaar , vogelvrije
mismanagement , regering
samenzweren , samenwerken
paar , kwantiteit
averij , schade
spook , jongeling
afwinden , ontsluiten
commissie , dictee
plaatje , gedachte
tegensteken , mishagen
toedekken , bedekken
goedkeuren , meedelen
ondragelijke pijn , verrichting
ingetogenheid , kuisheid
erkenning , diplomatie
groottante , verwant
slachtkip , gevogelte
uitblijven , bestendigen
vleespen , spies
houtwerk , hout
ontsnappen , mijden
verruwen , veranderen
onkruid , organisme
ruilhandel , handelsverkeer
branden , ergeren
schuiftrombone , bas
aan het strand , land
herder , joekel
toevlucht , steun
bestek , rekenwerk
Hammerstein , tekstdichter
ageren , steigeren
wandtapijt , textiel
luchtverfrisser , geval
penwortel , wortel
handelsvrijheid , vrijheid
aso , onderricht
topper , vogeltje
Christoffel , patrones
persen , persen
trappistenbier , biertje
groeikern , plaats
abdij , abdij
luchtververser , apparaat
uitbarsten , aantonen
bladeren , lezen
pakijs , oppervlak
snoeimes , zaag
Indië , land
pijpbeen , bot
Caribou , zoogdier
koosnaam , eigennaam
zuiger , tak
voortstuwen , douwen
bassist , instrumentist
komen , verplaatsen
telecommunicatiesatelliet , wachter
Adelger , toonzetter
rouge , make-up
schoonmaakster , schoonmaker
landen , brengen
aanvangstijd , show Time
gieter , arbeider
terminal , apparaat
autocratie , ideologie
forceren , beïnvloeden
slacht , mortificatie
geborrel , pijp
protestactie , protest
drietrapsraket , ruimteraket
mat , karpet
schot , verrichting
landkaart , plattegrond
klasseren , winnen
hollen , overspringen
val , verdwijning
smokinghemd , rokoverhemd
macaronivreter , muntstuk
tekstdichter , schrijfster
accentueren , meedelen
executeren , kastijden
antwoorden , reageren
kloven , stukgaan
nieuwsrubriek , uitzending
vuist , klavier
schermen , verwerking
juwelen , versiering
scharnierpen , stift
lafbek , lafaard
boerenhofstede , werkplaats
hoepel , hoepel
atol , enclave
stalling , opbergplaats
vergieten , voortbewegen
melasse , siroop
generalisatie , gevolgtrekking
voeden , veranderen
yankee , onderdaan
leegte , conditie
bedreigen , bang
brievenbus , ding
doelpunt , scoren
neusdruppels , medicijn
A-bom , massavernietigingswapen
Oolong , theeblad
ommekeer , alteratie
kernbrandstof , brandstof
pandemonium , tempel
bonenkruid , smaakmaker
spek , vet
rust , pauzeren
kolendamp , monoxide
krabbelen , trekken
binnenhalen , voortbewegen
afbuigen , draaien
wortel , gedeelte
hypertrofie , dysplasie
putdeksel , bres
verloofde , verloofd
verzamelaar , spaarder
identiteiten , herkenning
houtvester , opziener
belastinginspecteur , hoofd
Waal , ingezetene
kampeerder , toerist
hartinfarct , imperfectie
delfstof , stof
ontering , afgelasting
aansturen , voortbewegen
catatonie , schizofrenie
bevriezing , laesie
leerling , figuur
avontuurtje , worp
voorstudie , tekenkunst
stamelen , aantonen
kennis nemen , voorlichten
horizon , lijn
windkracht , energie
klavechord , zich bescheuren
lotie , werk
dramaturg , schrijfster
doperwt , peul
Oekraïens , Europeaan
stoomboot , kookgerei
slapheid , onraad
omkleden , wisselen
verdaging , staking
kweek , groep
afdrukken , voortbewegen
treinverbinding , vervoer
voile , textiel
tripel , moederstad
aanrecht , blad
kristallens , orgaan
prefabricatie , fabrikaat
DDT , insecticide
aanpak , vliegroute
bezigheid , periode
kurkvijl , vijl
ongeluksgetal , getal
xenon , chemisch element
toilettafel , tafel
verchromen , bedekken
zuigfles , vat
autodief , inbreker
aftrekken , masturberen
Romein , Europeaan
